as_of,asset_id,horizon,horizon_days,target_date,status,point_pct,actual_pct,abs_err,signed_err,low_pct,high_pct,in_band,p_up,direction_hit,brier,protocol_version,model_id,day_type,confidence,horizon_kind,paired_gain_pp,baseline_naive_pct,baseline_drift_pct,baseline_momentum_pct,beat_naive,beat_drift,beat_momentum,beat_all_three
2026-08-05,A6,1w,7,2026-08-12,resolved,0.4,0.508,0.108,-0.108,-0.6,1.4,1,0.62,1,0.1444,1,model_A,calm,low,forecast,0.4,0.0,-0.166,-0.488,True,True,True,True
2026-08-11,A1,1d,1,2026-08-12,resolved,0.15,0.727,0.577,-0.577,-1.4,1.8,1,0.54,1,0.2116,3,model_A,calm,low,forecast,0.15,0.0,1.57,0.62,True,True,False,False
2026-08-11,A6,1d,1,2026-08-12,resolved,0.08,0.04,0.04,0.04,-0.2,0.4,1,0.6,,,3,model_A,calm,medium,forecast,0.0,0.0,0.074,0.039,False,False,False,False
2026-08-11,A2,1d,1,2026-08-12,resolved,0.1,-0.273,0.373,0.373,-2.0,2.3,1,0.51,0,0.2601,3,model_A,calm,low,forecast,-0.1,0.0,1.253,0.759,False,True,True,False
2026-08-11,A4,1d,1,2026-08-12,resolved,0.2,1.408,1.208,-1.208,-1.7,2.2,1,0.53,1,0.2209,3,model_A,calm,low,forecast,0.2,0.0,1.609,0.79,True,False,False,False
2026-08-11,A5,1d,1,2026-08-12,resolved,0.1,-0.157,0.257,0.257,-1.7,1.9,1,0.52,0,0.2704,3,model_A,calm,low,forecast,-0.1,0.0,0.634,0.485,False,True,True,False
2026-08-06,A1,1w,7,2026-08-13,resolved,0.6,3.137,2.537,-2.537,-4.5,6.0,1,0.53,1,0.2209,1,model_A,calm,low,forecast,0.6,0.0,8.399,10.078,True,True,True,True
2026-08-06,A2,1w,7,2026-08-13,resolved,0.5,2.19,1.69,-1.69,-7.0,8.0,1,0.52,1,0.2304,1,model_A,calm,low,forecast,0.5,0.0,9.939,4.858,True,True,True,True
2026-08-06,A3,1w,7,2026-08-13,resolved,0.5,2.293,1.793,-1.793,-5.5,6.5,1,0.52,1,0.2304,1,model_A,calm,low,forecast,0.5,0.0,7.303,5.472,True,True,True,True
2026-08-06,A4,1w,7,2026-08-13,resolved,0.6,6.627,6.027,-6.027,-5.0,6.5,0,0.53,1,0.2209,1,model_A,calm,low,forecast,0.6,0.0,7.429,14.492,True,False,True,False
2026-08-06,A5,1w,7,2026-08-13,resolved,0.4,2.586,2.186,-2.186,-6.0,6.5,1,0.52,1,0.2304,1,model_A,calm,low,forecast,0.4,0.0,8.381,8.381,True,True,True,True
2026-08-06,A6,1w,7,2026-08-13,resolved,0.45,0.38,0.07,0.07,-0.5,1.5,1,0.63,1,0.1369,1,model_A,calm,low,forecast,0.31,0.0,0.167,0.833,True,True,True,True
2026-08-12,A1,1d,1,2026-08-13,resolved,0.3,-0.647,0.947,0.947,-2.2,2.8,1,0.55,0,0.3025,3,model_A,data,low,forecast,-0.3,0.0,1.154,0.727,False,True,True,False
2026-08-12,A6,1d,1,2026-08-13,resolved,0.05,0.039,0.011,0.011,-0.25,0.45,1,0.58,,,3,model_A,data,medium,forecast,0.028,0.0,0.101,0.04,True,True,False,False
2026-08-12,A2,1d,1,2026-08-13,resolved,0.0,1.507,1.507,-1.507,-2.4,2.6,1,0.5,0,0.25,3,model_A,data,low,forecast,0.0,0.0,0.331,-0.273,False,False,True,False
2026-08-12,A3,1d,1,2026-08-13,resolved,0.0,1.784,1.784,-1.784,-2.2,2.4,1,0.5,0,0.25,3,model_A,data,low,forecast,0.0,0.0,0.319,0.072,False,False,False,False
2026-08-12,A4,1d,1,2026-08-13,resolved,0.15,1.524,1.374,-1.374,-2.1,2.5,1,0.52,1,0.2304,3,model_A,data,low,forecast,0.15,0.0,1.567,1.408,True,False,False,False
2026-08-12,A5,1d,1,2026-08-13,resolved,0.0,1.871,1.871,-1.871,-1.9,2.0,1,0.5,0,0.25,3,model_A,data,low,forecast,0.0,0.0,0.476,-0.157,False,False,True,False
2026-08-04,A3,1w,7,2026-08-11,resolved,0.48,4.414,3.934,-3.934,-6.6,7.8,1,0.53,1,0.2209,1,model_A,calm,low,forecast,0.48,0.0,2.213,2.213,True,False,False,False
2026-08-10,A3,1d,1,2026-08-11,resolved,0.35,0.485,0.135,-0.135,-1.6,2.4,1,0.58,1,0.1764,3,model_A,calm,low,forecast,0.35,0.0,0.865,0.396,True,True,False,False
2026-08-11,A3,1d,1,2026-08-12,resolved,0.1,-0.721,0.821,0.821,-1.8,2.1,1,0.51,0,0.2601,3,model_A,calm,low,forecast,-0.1,0.0,0.874,0.485,False,True,True,False
2026-08-07,A1,1w,7,2026-08-14,resolved,1.8,1.134,0.666,0.666,-2.0,5.5,1,0.66,1,0.1156,2,model_A,data,low,forecast,0.468,0.0,7.795,5.984,True,True,True,True
2026-08-07,A6,1w,7,2026-08-14,resolved,0.4,0.382,0.018,0.018,-0.15,1.0,1,0.75,1,0.0625,2,model_A,data,medium,forecast,0.364,0.0,0.411,1.14,True,True,True,True
2026-08-07,A2,1w,7,2026-08-14,resolved,1.6,3.847,2.247,-2.247,-3.5,6.5,1,0.62,1,0.1444,2,model_A,data,low,forecast,1.6,0.0,6.452,-4.007,True,True,True,True
